en,zh-Hans
ii. In the following range,在以下范围内
"Please note that if you choose option i – vi, the highest percentage set out in your selected choice will be used to calculate your maximum affordable premium)",(请注意：如阁下选择I、VI项，阁下所选择范围内之最高百分比将会被用作计算阁下之最高可负担之供款金额。）
< 10%,少于10%
> 50%,超过 50%
"In considering your ability to make payments, what are your sources of funds :  (Tick one or more)",就阁下缴付保费的能力，请注明阁下的资金来源：（可多选）
** Additional supporting documents may be required,**如有需要会因应公司要求而递交相关文件 
Salary,薪水
Income,收入
Savings,儲蓄
Investments,投资
"Other source of fund or the origin of funds is other than applicant: (1) please specify the source and/or (2) name of  payee, (3) relationship with applicant, (4) payee’s occupation , and (5) annual income) ",如有其他资金来源且来源于申请人以外：（1）请注明出处和/或（2）收款人姓名，（3）与申请人的关系，（4）收款人的职业，和（5）年收入
Analysis,分析
Product for Recommendation ,产品推荐 
Eligible products ,合格产品
Eligible fna ,符合条件的财务需求分析
FNA No.,编号
Generate Date,生成日期
Status,状态
FNA Source,财务需求分析的生成来源
New fna should be saved at lease once!,新的财务需求分析应该保存至少一次!
Name of Insurance Plan,保险计划名称
Product Objective,产品目标
Type of Insurance Product,保险产品类型
Contribution Period,供款期
Protection&Savings,保障及储蓄
Effective solutions to fulfill your needs,有效的解决方案来满足您的需求
Special Offers,特别优惠
"Special offers, discounts and benefits on protection, savings and investment products for you and your clients.","为你和你的客户提供特别优惠,折扣和福利保护、储蓄和投资产品。."
Access the latest range of offers,访问最新的报价
Knowledge,文档
Center,中心
"Use the knowledge center to access product documentation, forms, compliance guidelines and more.","使用文档中心访问产品文档,表格,合规指南等等."
Access the knowledge center,访问文档中心
About eBao Tech,关于易保
"Find out more about eBao's global and local presence as well as our brand, corporate social responsibility and more.","找到更多关于易保全球和本地的存在以及我们的品牌,企业社会责任等等。."
Find out more about eBao Tech,找到更多关于易保
Fund Center,基金中心
Coming to you soon...,即将到来...
Document is uploaded!,文档已上传!
Uploaded successfully.,上传成功
Deleted successfully.,删除成功
Please Upload a File,请选择一个文件上传
My Customers,我的客户
Policy Enquiry,保单查询
Advisor Enquiry,顾问查询
Knowledge Center Upload,文档中心上传
Knowledge Center,文档中心
Pending Verification,等待校验
 Change Password,更改密码
 Log Off,登出
Home,主页
About Us,关于我们
Contact Us,联系我们
Terms & Conditions,条款&条件
Privacy Policy,隐私策略
Copyright eBaoTech. All rights reserved.,易保网络技术(上海)有限公司版权所属
eBaoTech Sales platform,eBao销售平台
Please wait for the bench loaded...,请等待...
Advisor Enquiry,顾问查询
Advisor Number,顾问号码
Advisor Name,顾问姓名
Search,搜索
Reset,重置
Policy Number,保单号码
Client reference No,客户证件号码
Policy Holder Name,投保人姓名
Installment premium,期缴保费
Premium Prequency,缴费频率
Currency,货币
Days since issued,自签发日以来的天数
Insured Name,险种名
Issue Date,签发日期
1 Month,1个月
2 Month,2个月
3 Month,3个月
Total Live Policies,生效中的保单合计
Total non-live Policies,未生效保单合计
GBP,英镑
USD,美元
BWP,新加坡元
Payment Frequency,缴费频率
Address Type,地址类型
Address,地址信息
Comments,吸烟备注
Close,关闭
Save,保存
Back,返回
Next,下一页
Cancel,取消
OK,确定
City/State,市/区/县
Country,国家
Postal Code,邮政编码
Actions,操作
Edit,编辑
Delete,删除
Download,下载
Confirm,确定
Exit,退出
Basic Info,基本信息
Name(as shown in NRIC/Passport),姓名（和身份证/护照一致）
Title,称号
If other,如果其他
Date of birth,出生日期
Title,称号
Male,男
Female,女
Gender,性别
Country of Residence,居住国家
Age next Bday,下一年生日的年龄
Nationality,国籍
Others,其他
Other Nationality,其他国籍
Occupation,职业
If other Occupation,如果是其他职业
Smoker Status,是否吸烟
Sticks per Month,每月多少根
Years,抽烟年限
ID Type,证件类型
ID Number,证件号码
Marital Status,婚姻状况
Country of Birth,出生国家
Height,身高
Weight,体重
Employment Status,就业状况
If other Employment Status,如果其他就业状况
Company Name,公司名称
Office Number,办公室号码
Mobile Number,手机号码
Home Number,家庭电话号码
Email Address,电子邮件地址
(Personal email address),（个人电子邮件地址）
Family information,家庭信息
Quick Find,快速查找
Relationship,关系
Name,名字
Age,年龄
Mobile,手机号码
Email,邮箱
Select,选择
Application No,投保单号
Product,产品
Sum Assured,保额
Premium,保费
Application Status,状态
Action,操作
Request for Verification,请求验证
Basic,基础资料
Family,家庭信息
Profile,基本信息
Quote/Proposal entry,报价单 / 建议书
Customer Enquiry,客户搜索
Customer Name,姓名
Date of Birth From,出生日期从
Date of Birth To,出生日期到
Search Customer,搜索客户信息
Delete Address,删除地址
YES,是
NO,否
Delete Familly Information,删除家庭信息
Benefit Illustration,利益演示
FNA,财务需求分析 
Application Form,申请表
Agent Confidential Report,代理人机密报告
Other,其他
Date,日期
Upload File,上传文件
Select a File,选择文件
Delete Quote,删除报价单
Signature Pad,电子签名板
"Sorry, your browser is not supported.",对不起，不支持您所使用的浏览器
Submit,提交
Clear,清除
Policy Holder,保单持有人
Policy Holder + Life Assured,保单持有人+被保人
Customer Search,客户搜索
Please select,--请选择--
Enter Basic Information,输入基本信息
Quote,建议书
Insured's information,被保险人信息
Non Smoker,非吸烟者
Smoker,吸烟者
Relationship with Policyholder,与保单持有人关系
Insured's name,被保险人姓名
Smoking,吸烟状况
Add,添加
Policy holder's information,保单持有人信息
Are you the,你是
Generate quote,生成报价单
Generate PDF,生成PDF
"Sorry, your browser is not supported.",对不起，不支持您所使用的浏览器
Insurance product,保险产品
Base Plan,基本产品
Zip Code,邮政编码
First Name,名
Last Name,姓
Basic Information,基础资料
Doctor's degree,博士
Master degree,硕士
Bachelor degree,学士
New FNA,新 FNA
Recent FNA List,最近的财务需求分析列表
Select,选择
Application No.,投保号码
View Details,查看详细
A name must be selected.,请先选择一个名称
Case Study,案例学习
Product List Of Campaign,销售中的产品一览
Recommend,为您推荐
Best Sale,销量最高
Data saved!,数据已保存！
Data should be saved before analyze!,请在保存数据后再分析！
Give me a Quotation,我要询价
Password,密码
Forgot password?,忘记密码?
Login,登录
Enquiry result,查询结果
#NAME?,#NAME?
Non smoker,非吸烟者
Smoker,吸烟者
#NAME?,新报价单
Recent quote list,近期报价单列表
Creation date,创建日期
Last modification,最近修改
Main product,主要产品
Life assured,被保人
Policyholder,保单持有人
Sum assured,被保人
Coverage term,保障期限
e-Sign status,电子签名状态
Quote status,报价状态
Download Proposal,下载投保单
Clone,复制
Proposal entry,投保单录入
Application Number,投保号码
Coverage Term,保障期限
e-Sign,电子签名
View Quote,查看报价单
Policy owner Name,保单持有人名
Policy owner,保单持有人
If Others,如果其他
Pending Quotations,
FNA,財務需要分析 
User ID,用户名
Email address,电子邮箱
Back,返回
Reset password,重置密码
SMS verification,短信验证
Please click on [Get OTP PIN] button to receive One-Time Password PIN in your SMS.,点击【获取验证码】，您的手机将收到一条包含只能使用一次的验证码的短信。
Enter OTP PIN,输入验证码
Get OTP PIN,获取验证码
Next,下一页
Previous,前一页
Page,页面
Please change your password.,请修改密码。
User ID,用户ID
Original password,原密码
New password,新密码
Repeat password,再次输入密码
OK,确定
eBao Sales platform,eBao销售平台
Login,登录
User name,用户名
Password,密码
eBao Sales platform Terms and Conditions shall bind you from the date access to eBao Sales platform is granted to you by eBao. You agree to observe these terms and conditions whenever you access to any part of ESP.,您对eBao销售平台的使用受eBao销售平台的条款和条件的约束。当您访问本网站任意部分时，表示您已经同意并接受我们的条款与条件。
"Access is denied,please check the login user's role.",拒绝访问，请检查登录用户的权限。
Sum Assured,保额
Policy enquiry,保单查询
Policy number,保单号码
Insured First Name,被保人名
Insured Last Name,被保人姓
Policy issue date from,保单签发日 开始
Policy issue date to,保单签发日 结束
Search policy / proposal,搜索  保单/投保单
Policy enquiry result,保单查询结果
Policy status,保单状态
Installment premium,分期缴付保费
Application enquiry,投保查询
Application number,投保号码
Application enquiry result,投保查询结果
Application No.,投保号码
Last modified date,最后更新日
Policyholder's name,投保人姓名
Insured's name,被保人姓名
Status,状态
Policy term,保单期限
Premium,保费
Payment frequency,缴费频率
Name,名字
ID type,证件类型
ID number,证件号码
Country of residence,居住国家
Address type,地址类型
Address,地址信息
Generate PDF,生成pdf
Surrender value,退保金
Quick Find,快速查找
Title,称号
Save,保存
Reset,重置
Gender,性别
Actions,操作
Occupation,职业
Nationality,国籍
Others,其他
Other Nationality,其他国籍
If Others,如果其他
Payment Term,缴费期限
Coverage Term,保障期限
Regular Premium,期缴保费
Height(Cm),身高(厘米)
Weight(Kg),体重(公斤)
Mobile,手机号
Country of Birth,出生国家
Nationality,国籍
Marital Status,婚姻状况
Height,身高
Weight,体重
Address Type,地址类型
Premium Amount,保费
Occupation,职业
If Other,如果其他
DownLoad,下载
Plan option,备选产品
Benefit information,险种信息
Premium Term,保险时长
Benefit Level,保障等级
Riders information,附加险信息
Rider,附加险
Rider plan,产品
Rider sum assured,保额
#NAME?,#NAME?
Waiver,保费豁免险
Waivers,保费豁免险
Waiver plan,减免计划
#NAME?,#NAME?
Coverage year,覆盖期限
Cash Value,现金价值
Feature of plan,产品特征
Agent/IFA Name,代理人姓名
Enquiry Result,查询结果
Agent/IFA Code,代理人号码
Agent/IFA,代理人
Application Status,状态
Verification Pass,校验通过
Verification Fail,校验失败
Comments,附加评论
Forgot password?,忘记密码
Remember me,记住我
+65 65348988,+65 65348988
Please wait for the bench loaded...,请等待
Copyright Â© 2015 eBao Tech. All rights reserved.,eBao版权所属
Change Password,变更密码
Have you completed signature?,是否已完成签名？
Done,完成
Log off,注销
Save successfully.,保存成功
Save failure.,保存失败
Document file can only be *.tiff file.,只能接受tiff后缀的文件
Upload successfully.,上传成功
Upload failed.,上传失败
Are you sure to delete?,确认删除？
Please select a record.,请选择一条记录
Please fill all fields.,请填写所有字段.
Policy Term,保单期限
Are you sure to log off from the system?,你确定要从系统注销吗?
Sticks per day,每天多少根
Financial need analysis,财务需求分析
Submit signature,提交签名
Other Insured’s Information,其他被保人信息 
Back date,开始于….
HPS exemption,HPS豁免
Interest rate,利率
Rider term,期限
Rider premium term,保费期限
Waiver of premium rider,保费豁免险
#NAME?,#NAME?
Regular top up,定期充值
#NAME?,#NAME?
Policy year from,保单年度从
Policy year to,保单年度到
Regular top up amount,定期充值金额
Regular withdrawal,定期提款
#NAME?,#NAME?
Policy year from,保单年度从
Policy year to,保单年度到
Regular withdrawal amount,定期提款金额
Partial withdrawal,局部提款
#NAME?,#NAME?
Partial withdrawal amount,局部提款金额
#NAME?,#NAME?
Investment source,投资来源
 Extra mortality,额外死亡率
Add extra mortality,添加额外死亡率
Extra mortality type,额外死亡率类型
Load from,佣金从
Load to,佣金到
Calculate premiums,计算保费
Plan details,产品细节
Premiums,保费
Yearly,年缴
Half yearly,半年缴
Quarterly,季缴
Monthly,月缴
Email quotation,邮件地址
Send email,发送电子邮件
Email content,电子邮件内容
Product summary,产品概述
Fund summary and PHS,资金概述和保单持有人盈余
BI,报表
End of policy year/ Age next birthday,保单年度末/下一生日年龄
Annual premiums,年度保费
Total premiums paid-to-date,已交总保费
Guaranteed death benefit,死亡赔付
Benefit illustration,利益演示
Death benefit,死亡赔付
Guaranteed,保证
Projected at 4% investment return ,以4%投资收益率预测
Non-Guaranteed,非保证
Surrender Value (Non-Guaranteed),退保金（非保证）
Projected at 8% investment return ,以8%投资收益率预测
Supplementary illustration,附加险利益演示
Single premium investment boost,趸交保费投资提升
Regular premiums annualised,年化期交保费
Withdrawals,领取
Table of deductions ,减项表
Deductions,减项
Value of premiums paid -to-date ,已交保费价值
Effect of deductions to- date ,已发生减项
Total Surrender Value,总退保金
Total distribution cost,销售费用
Total premiums paid -to-date,已交总保费
Total distribution cost -to-date,已发生销售费用
Illustration for supplementary benefits,附加险利益演示
Annual / Annualised premiums,年/年化保费
Ref. No,索引号
Create date,创建日期
Modify date,修改日期
Main product,主险
Term,保险时长
e-Sign status,电子签名状态
Adviser enquiry,顾问咨询
External client number,外部客户编号
Total premium paid - Live policies,已缴保费合计 - 生效中的保单
HKD,港币
AUD,澳元
EUR,欧元
Total pending policies,处理中的保单合计
Total outstanding premium - Pending policies,未缴保费合计 - 处理中的保单
Policy owner's name,保单持有人姓名
Servicing Pipeline,服务渠道
Submission Type,提交类型
Policy owner's NRIC / Passport number,投保人证件号码
Expiry / Maturity date from,保单到期日 开始
Expiry / Maturity date to,保单到期日 结束
Premium due date from,保费到期日 开始
Premium due date to,保费到期日 结束
Policy owner's date of birth from,投保人生日 开始
Policy owner's date of birth to,投保人生日 结束
Adviser code,顾问号码
Are you sure to delete this file?,你确定要删除此文件吗?
Disturbance of Vision not filled!,视觉障碍未填!
Please check question 1,请检查问题1
Please check question 2,请检查问题2
Please check question 3,请检查问题3
Please check question 4ab,请检查问题4ab
Please check question 4defg,请检查问题4defg
Analysis should be done before save,需求需在保存前完成
Cover Whole Life,覆盖终身寿险
BI has crossed the validity period. Please generate a new BI,BI已过了有效期. 请生成新的BI。
Quote can be deleted where \,.
PDF can be downloaded after proposal entry is completed.,PDF可以在投保完成后下载.
No documents can be downloaded for the Quote,报价单中没有文件可下载
It is not allowed to do the quote with current status.,不允许报价单在当前状态做操作.
Select a quote.,请选择一个报价单.
This customer is insured and can not be added to additional additional insured's information.,此客户是被保人并且不能添加额外的被保人信息.
This customer has existed in additional insured's information.,此客户已经存在于额外保险信息.
"The insured has existed in additional insured's information, please check it.",此被保人已经存在于额外被保人信息，请检查.
Policy Holder and Insured are same.,保单持有人与被保人是同一人.
There is only one plan in the quote page.,只有一个产品在报价单页面.
ESCI rider can only be added with Additional Critical Illness benefit.,ESCI附加险只能被添加于额外的重大疾病利益.
Quotation has been sent successfully.,报价单已发送成功.
send failed.,发送失败.
101% of Account value,账户价值的101%
Save successfully.,保存成功
Are you sure to delete the record?,确定删除此记录？
Select Insurance product and Benefit Information.,请选择保险产品和险种信息.
The Customer already exists.,该客户已存在
The Person already exists in Relationship.,此人已建立关系.
Please save or delete the rider first.,请先保存或删除附加险
Commencement date cannot be later than system date.,生效日不能晚于系统时间
Rider already exists.,附加险已存在
Waiver already exists.,豁免险已存在
Fund already exists.,基金已存在
Investment source does not equal to 100%.,投资来源不等于100%
Select a waiver.,请选择一个豁免险
Enter all the Rider information.,请输入所有附加险信息
Calculate premiums first.,请先计算保费.
Whether to discard changes?,是否放弃所有修改？
Life Assured age or license does not allow any product for sale.,没有任何销售产品符合被保人的年龄或权限
"Return to Quote List? If Yes, all changes not saved will be discarded.",是否返回询价一览？如果确定，所有未保存的修改将丢失！
"Return to Proposal List? If Yes, all changes not saved will be discarded.",是否返回投保单一览？如果确定，所有未保存的修改将丢失！
The minimum allocation of fund is 1%.,投资资金的最小分配比例为1%.
Chinese,中国
Forms,表单
Product Documentation,产品文件
Product Mapping for FNA,财务需求分析的产品映射
FNA Guidelines,财务需求分析指南
Insured's information,被保险人信息
Plan A,产品 A
Plan B,产品 B
Plan C,产品 C
Plan D,产品 D
Plan Compare,产品对比
NA,不可用
Old Password,旧密码
New Password,新密码
Please Input New Password again,请再次输入新密码
Summary,合计
NB pipeline,新契约渠道
Overdue premium,逾期保费
Recently issued policies,最近签发的保单
Proposals awaiting cash,待收费的投保单
Input a number between 0 and 365.,请输入0到365之间的数字
No application find.,未找到投保单
Check the expiry / maturity date range.,请检查满期/到期日范围
Check the Policy Holder DOB date range.,请检查保单持有人生日的范围
Check the policy issued date range.,请检查保单签发日的范围
No policy found.,未找到保单
VIEW MORE,查看更多
Product Select Category,产品类别
Please select product,请选择产品
Comments,评论
Cancle,取消
Save,保存
Rule Check Result,规则检查结果
Results,结果
Rule name,规则名称
Close,关闭
Applications Pending for Verification,申请待验证
Agent/IFA Code,代理/ IFA代码
Agent/IFA Name,代理/ IFA名称
Search,搜索
Reset,重置
Enquiry Result,查询结果
Select,选择
Application No。,申请序号
Agent/IFA,代理/IFA
Insured Name,保险名称
Product,产品
Currency,货币
Sum Assured,投保金额
Premium,保费
Payment Frequency,支付频率
Application Status,申请状态
Action,操作
Download,下载
exit,退出
Verification Pass,验证通过
Verification Fail,验证失败
cm,厘米
kg,公斤
Single premium,趸交保费
Product Configuration,产品配置
Product Name,产品名
Catelog products,产品目录
No,否
1),1)
a),a)
b),b)
c),c)
d),d)
e),e)
f),f)
g),g)
h),h)
i),i)
j),j)
k),k)
l),l)
m),m)
2),2)
3),3)
4),4)
5),5)
6),6)
7),7)
8),8)
9),9)
B),B)
YES,是
Yes,是
Life,人寿保险金额
Edit,编辑
Male,男
City,城市
Save,保存
Back,返回
Next,下一页
Self,本人
#NAME?,#NAME?
Title,称号
Close,关闭
Delete,删除
Cancel,取消
Action,操作
Others,其他
Asthma,哮喘
Reason,原因
Gender,性别
Female,女
Height,身高
Weight,体重
Smoker,吸烟者
others,其他
Spouse,配偶
e-Sign,电子签名
Select,选择
Actions,操作
Address,地址
Savings,存款
Remarks,备注
Reasons,原因
Country,国家
ID type,证件类型
Premium,保费
Year(s),年
Epilepsy,癫痫病
Diabetes,糖尿病
Duration,期间
Military,军人
If other,若是'其他'请详述
Postcode,邮编
Property,存款
Warning,警告
Download,下载
Complete,完成
Documents,文档信息
If others,如果其他
Gastritis,胃炎
Arthritis,关节炎
Fund name,基金名称
ID number,证件号码
Card type,卡类型
Bank name,银行名称
File name,文件名称
If Others,如果其他
Send Email,发送邮件
Disclosure,信息公开
Occupation,职业
Depression,抑郁症
Sky Diving,延迟跳伞
Non-smoker,非吸烟者
View quote,查看报价单
Declaration,声明信息
Doctor name,医生名称
Family name,姓氏
Nationality,国籍
Singaporean,中国
Question No,问题编号
Year Issued,发行年份
Sum assured,保额
Policy term,保险期限
Height (cm),身高 (厘米)
Weight (kg),体重 (公斤)
Bank branch,支行
Upload file,上传文件
quote_step2,询价第2步
quote_step3,询价第3步
quote_step4,询价第4步
quote_step5,询价第5步
Payment Info,支付信息
Life assured,被保人
Policy owner,保单持有人
Relationship,和投保人关系
Age at onset,发病年龄
Singapore PR,中国永住
Type of plan,计划类型
Lung Disease,肺病
Slipped Disc,椎间盘突出
Scuba Diving,戴呼吸器潜水
Motor Racing,赛车运动
Main product,主险
Premium term,缴费期限
Address type,地址类型
Issuing bank,发行银行
Policyholder,保单持有人
Quote status,报价状态
Date modified,修改日期
Date of birth,出生日期
Type of claim,索赔类型
NRIC/Passport,证件号
Rider product,附加险
Rider premium,附加险保费
State/Country,国家/地区
Smoker status,是否吸烟
Cheque number,支票号码
Joint account,联名账户
Document type,文档类型
Select a file,请选择一个文件
e-Sign status,电子签名状态
Mortgage loan,抵押贷款
(i)  Fact find,(i)  实情调查
Doctor address,医生地址
Name of doctor,医生名称
Family history,家族病史
Private Flying,私人飞行
Contact Number,联系电话
Regular top up,定期追加投资
Insured's name,被保人姓名
Marital status,婚姻状况
Sticks per day,每天多少根
Account number,账号
Cheque payment,支票支付
Contact number,联系号码
Name of company,公司名称
• Sale contract,• 销售合同
Hospitalization,住院
Other Avocation,其他爱好
Credit card No.,信用卡号码
Origin of wealth,财富来源
Health questions,健康问题
Thyroid Disorder,甲状腺疾病
Chest Discomfort,胸部不适
Other Occupation,其他职业
Life Sum Assured,人寿保险金额
Critical Illness,重大疾病保险金额
Fund information,基金信息
Country of birth,出生地区
Card expiry date,卡到期日
Source of Wealth,财产来源
File information,文件信息
Application form,投保单
View application,查看投保
Name of condition,条件名称
Date of diagnosis,诊断日期
Other Information,其他信息
Third party payor,第三方付款人
Other nationality,其他国籍
--Please select--,--请选择--
Investment income,投资收入
Nervous Breakdown,神经衰弱
Employment status,受雇状态
Waiver of Premium,保费豁免
Payment frequency,缴费频率
Rider policy term,附加险保险期限
Investment source,投资来源
Life assured Name,被保险人姓名
Policy owner Name,保单持有人姓名
Nature of business,业务类型
Rider premium term,附加险缴费期限
Investment summary,投资概要
Company/Trust name,公司/信托名称
Application number,投保号码
Duration of illness,病期
Doctor phone number,医生电话号码
-- Please select --,--请选择--
Financial questions,财务问题
Personal protection,个人保护
Others relationship,其他关系
Contribution amount,捐款金额
Persistent Headache,持续性头痛
Breathing Complaint,呼吸困难
Policy owner's name,保单持有人姓名
Payment instruction,缴费信息
Name of card holder,持卡人姓名
Credit card payment,信用卡支付
Payment information,缴费信息
Age at onset (years),发病年龄 (年)
Insured's occupation,被保人职业
Beneficial Ownership,受益人信息
Country of residence,居住地区
Account in sole name,个人账户
Benefit Illustration,利益演示
Proposal information,投保单信息
Declaration Fact Find,实情声明
Life assured response,被保人回复
Policy owner response,投保人回复
Are you now pregnant?,你现在怀孕了吗?
Lifestyle information,生活方式信息
Free-Fall Parachuting,自由落体跳伞
Date created/uploaded,创建/上传日期
Business/Keyman cover,商业/关键人物封面
Exact nature of duties,具体职业
(b) Rank/position held,(b) 职级/职务
Insurance Company Name,保险公司名称
Number of years smoked,吸烟年限
Renewal payment method,续期保费付款方式
Policy delivery option,保单交付选择
Upload other documents,上传其他文档
Declaration and Consent,声明及同意
Life Insurance Policies,人寿保险单
Female health questions,女性健康问题
Annual / Single Premium,年度 / 趸缴保费
Insurance Company Name,保险公司名称
Review proposal summary,检查投保单概要
Cheque / Interbank GIRO,支票/银行间转账
Financial need analysis,财务需求分析
Reasons for consultation,咨询原因
Condition/Cause of death,死亡条件/死亡原因
Chest Discomfort or Pain,胸部不适或疼痛
Name as in NRIC/passport,姓名（和身份证/护照一致）
Installment payment plan,分期领取计划
Agent Confidential Report,代理保密报告
(ii) Benefit Illustration,(ii) 利益演示
Details of regular doctor,固定医生详情
Date of last consultation,上次咨询日期
"If deceased, age at death","如果死亡, 死亡年龄"
Employment / Trade income,工作收入/交易收入
Stomach or Duodenal ulcer,胃或十二指肠溃疡
Average Quantity per week,每周的平均数量
Mountain or Rock Climbing,登山或攀岩
Name of company or school,公司/学校名称
Prominent public function,公职信息
Policy owner's occupation,保单持有人职业
Questionnaire information,问卷信息
Agent confidential report,代理保密报告
Type of treatment received,接受治疗的类型
Accident & Health Policies,意外及健康保险单
(a) Full name/relationship,(a) 全名/关系
Confidential Agents Report,保密代理报告
Date of the test/operation/,检查日期/手术日期
